game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed
ms_pacman,10000,10,383.0,51f610f5950dd9baf3a10566b789748fe0d25eaea87fc9c4d4a63f0aed34a610,0,0
ms_pacman,20000,10,304.0,c85abdb2c40b9b8140eda50d7b163084efca6ac7a45df8ec89fd1c95b13803c7,0,0
ms_pacman,30000,10,253.0,e024991f7e5cd6b6bc448dac9ac3a83244d77abc370949add488510667c53974,0,0
ms_pacman,40000,10,634.0,90d58ae532e6068a1f803740ad56d7aa10558c48fc265c416a920a888c084694,0,0
ms_pacman,50000,10,652.0,ae58de8c5298524cb45cebc7f9e3506dbbadf90dfe3a7dd82a58f9ebb8533017,0,0
ms_pacman,60000,10,625.0,d52bdeb91fefc53596111e83733419d5d192a1bd4984cd743dbe1dc8ac4a5f68,0,0
ms_pacman,70000,10,1071.0,c22bd920f8c49330b90652ba25b354f0f1ea6012c510c992bce3cbc3099a8466,0,0
ms_pacman,80000,10,1047.0,a883e305f28e1cef223dd04ddbc75fe0ee0bd359f3c6594e5971fa1863239524,0,0
ms_pacman,90000,10,833.0,7e6af36cd0a224485b7ede62b40f320fe9a02210e140c11f8d8f4f9ca8736cda,0,0
ms_pacman,100000,100,1072.2,08211e94edbddd64b26311b24c37109e18c17daf8799b9f745fc8214c9184b31,0,0
pong,10000,10,-20.8,86e620d1767b2aa4b569ca4063e7922b6716db805ffe85b8b09f0374339a46f8,0,0
pong,20000,10,-20.7,10176ed9025162f7f38b80e581409e3e506a48141aca321be8c9be66ab58a6dd,0,0
pong,30000,10,-20.7,7311d6afe1ad50560545bc88d1fdea12f5b75996a8c2dd540b6dc360c77b00f0,0,0
pong,40000,10,-15.1,7dd584e2e860e41f20f81820dfa82bbe03f64820196f9a39c518628bbd98be88,0,0
pong,50000,10,-13.3,a1b25cc25ab17de18f0705baab3fcef53f35fa13ab7f5d50b6c96ad37a45ee13,0,0
pong,60000,10,-16.3,26ded84fc099419090375c308395f96e3a630ae79823f394f81bc7ff79cb88e1,0,0
pong,70000,10,-9.4,c3ceb069fb1139623b1e90f34c50c7360e58fcbfd9aa4e4889facc5697f70f94,0,0
pong,80000,10,-8.1,c466b9a3f2fd7260e342d1fddae129f42c6ab1b428ee0472642fc9b2e7df04ef,0,0
pong,90000,10,-3.3,2f81230e2011c619abec85e11bf9bf55dca3c9a5bacda7f0ae4e57a98e96d06a,0,0
pong,100000,100,-4.91,8f6caf4af17761ebb5c4022b81d84202334df922d0b67ab6f21d8affe79e031c,0,0
private_eye,10000,10,-354.9,b4587adf563bc1e27b12d87206c195345bfc8347576dc3c37c7239f8932aad9b,0,0
private_eye,20000,10,311.3,a7d70562a3062289d1d18ba677898ef877c3b72ebb85c9d1a05ee00f85b97aef,0,0
private_eye,30000,10,0.0,1da808ad39600202a76d198c944b6f49a2f5ed865abb26dedae3d3bfd7516d2e,0,0
private_eye,40000,10,-356.9,3f2ccc0ff9989ca18a43f7139133a8b2930d9adb53e5cc90a381de3822e1b58e,0,0
private_eye,50000,10,917.5,e0a27c4693648719400744f764a47baa6747d6078af6f092f2580a03e4979e92,0,0
private_eye,60000,10,0.0,b87fc0406ebde9cc27ad8055f926e3d2ce4d5da581a66c6762aae406678492d2,0,0
private_eye,70000,10,0.0,f4535c832a8da2065d827491e11ff5381793c979856ae5773f6e4e99f16faed1,0,0
private_eye,80000,10,4052.4,312a01c0b5d117984af90a2280cfcc24e045e5c71be595d2044d52bff89a517e,0,0
private_eye,90000,10,100.0,e9f39410307946932cbfd92225e620f37f9b8ea36320a1caf3dc679b9cee66b9,0,0
private_eye,100000,100,1496.79,86716c22e78968cccbb3aef638d8f487e24c91690c0c86e35ec67b1ef5343026,0,0
qbert,10000,10,57.5,f77a4a241c0e1a9cfc42d4c2e39615f46e12d93ef802097833577c46e2134fc9,0,0
qbert,20000,10,360.0,f19eb226f10b04dba1165d6c98f618db4b17172d1db3057a5b6f87ae3dc6f8bc,0,0
qbert,30000,10,335.0,35f248be30d9ce79b39cd1f3ceadb5ad379db3e8180eff7e4f44c820b239c897,0,0
qbert,40000,10,482.5,3d56dc7b8c4b7af22aa3215603b0a99e6dedda03c045122a1e49d3233347e5b8,0,0
qbert,50000,10,437.5,cd10b8ad2d6fbbf1ee2bacd20a9ecf96d8acfcb596724785476b23efe5d4b2b9,0,0
