method,game,seed,agent_steps,return
CoRe-WM old,alien,3,75343,370.0
CoRe-WM old,alien,3,75961,430.0
CoRe-WM old,alien,3,76521,400.0
CoRe-WM old,alien,3,77162,580.0
CoRe-WM old,alien,3,77789,410.0
CoRe-WM old,alien,3,78653,1060.0
CoRe-WM old,alien,3,79407,400.0
CoRe-WM old,alien,3,80259,620.0
CoRe-WM old,alien,3,81154,510.0
CoRe-WM old,alien,3,81762,350.0
CoRe-WM old,alien,3,82552,970.0
CoRe-WM old,alien,3,83408,530.0
CoRe-WM old,alien,3,84202,430.0
CoRe-WM old,alien,3,84907,360.0
CoRe-WM old,alien,3,85695,480.0
CoRe-WM old,alien,3,86243,400.0
CoRe-WM old,alien,3,86939,380.0
CoRe-WM old,alien,3,87559,420.0
CoRe-WM old,alien,3,88589,1090.0
CoRe-WM old,alien,3,89255,490.0
CoRe-WM old,alien,3,89926,520.0
CoRe-WM old,alien,3,90406,320.0
CoRe-WM old,alien,3,91040,390.0
CoRe-WM old,alien,3,91942,440.0
CoRe-WM old,alien,3,92708,420.0
CoRe-WM old,alien,3,93157,420.0
CoRe-WM old,alien,3,93700,480.0
CoRe-WM old,alien,3,94528,1000.0
CoRe-WM old,alien,3,95233,450.0
CoRe-WM old,alien,3,95818,560.0
CoRe-WM old,alien,3,96503,450.0
CoRe-WM old,alien,3,97178,440.0
CoRe-WM old,alien,3,97880,560.0
CoRe-WM old,alien,3,98650,490.0
CoRe-WM old,alien,3,99420,550.0
CoRe-WM old,alien,3,99945,440.0
CoRe-WM old,alien,4,585,160.0
CoRe-WM old,alien,4,1441,170.0
CoRe-WM old,alien,4,2123,120.0
CoRe-WM old,alien,4,2615,180.0
CoRe-WM old,alien,4,3333,160.0
CoRe-WM old,alien,4,3883,190.0
CoRe-WM old,alien,4,4751,310.0
CoRe-WM old,alien,4,5319,200.0
CoRe-WM old,alien,4,5850,150.0
CoRe-WM old,alien,4,6415,180.0
CoRe-WM old,alien,4,7443,950.0
CoRe-WM old,alien,4,8007,110.0
CoRe-WM old,alien,4,8691,210.0
CoRe-WM old,alien,4,9341,160.0
CoRe-WM old,alien,4,10033,220.0
CoRe-WM old,alien,4,10633,90.0
CoRe-WM old,alien,4,11175,130.0
CoRe-WM old,alien,4,11946,320.0
CoRe-WM old,alien,4,12418,130.0
CoRe-WM old,alien,4,13121,190.0
CoRe-WM old,alien,4,13976,180.0
CoRe-WM old,alien,4,14663,250.0
CoRe-WM old,alien,4,15373,240.0
