method,game,seed,bin,return
CoRe-WM old,battle_zone,0,15,2800.0
CoRe-WM old,battle_zone,0,16,3000.0
CoRe-WM old,battle_zone,0,17,3000.0
CoRe-WM old,battle_zone,0,18,6000.0
CoRe-WM old,battle_zone,0,19,4000.0
CoRe-WM old,battle_zone,1,0,2800.0
CoRe-WM old,battle_zone,1,1,2400.0
CoRe-WM old,battle_zone,1,2,2750.0
CoRe-WM old,battle_zone,1,3,2000.0
CoRe-WM old,battle_zone,1,4,3000.0
CoRe-WM old,battle_zone,1,5,4666.666666666667
CoRe-WM old,battle_zone,1,6,5000.0
CoRe-WM old,battle_zone,1,7,2750.0
CoRe-WM old,battle_zone,1,8,5666.666666666667
CoRe-WM old,battle_zone,1,9,3750.0
CoRe-WM old,battle_zone,1,10,1500.0
CoRe-WM old,battle_zone,1,11,2500.0
CoRe-WM old,battle_zone,1,12,10000.0
CoRe-WM old,battle_zone,1,13,4333.333333333333
CoRe-WM old,battle_zone,1,14,4000.0
CoRe-WM old,battle_zone,1,15,3666.6666666666665
CoRe-WM old,battle_zone,1,16,3000.0
CoRe-WM old,battle_zone,1,17,8000.0
CoRe-WM old,battle_zone,1,18,15750.0
CoRe-WM old,battle_zone,1,19,20333.333333333332
CoRe-WM old,battle_zone,2,0,4000.0
CoRe-WM old,battle_zone,2,1,1250.0
CoRe-WM old,battle_zone,2,2,2400.0
CoRe-WM old,battle_zone,2,3,4500.0
CoRe-WM old,battle_zone,2,4,2500.0
CoRe-WM old,battle_zone,2,5,1250.0
CoRe-WM old,battle_zone,2,6,2400.0
CoRe-WM old,battle_zone,2,7,666.6666666666666
CoRe-WM old,battle_zone,2,8,666.6666666666666
CoRe-WM old,battle_zone,2,9,2250.0
CoRe-WM old,battle_zone,2,10,3000.0
CoRe-WM old,battle_zone,2,11,800.0
CoRe-WM old,battle_zone,2,12,2500.0
CoRe-WM old,battle_zone,2,13,2666.6666666666665
CoRe-WM old,battle_zone,2,14,9000.0
CoRe-WM old,battle_zone,2,15,7250.0
CoRe-WM old,battle_zone,2,16,6000.0
CoRe-WM old,battle_zone,2,17,1000.0
CoRe-WM old,battle_zone,2,18,6000.0
CoRe-WM old,battle_zone,2,19,8750.0
CoRe-WM old,battle_zone,3,0,2250.0
CoRe-WM old,battle_zone,3,1,3200.0
CoRe-WM old,battle_zone,3,2,2400.0
CoRe-WM old,battle_zone,3,3,1200.0
CoRe-WM old,battle_zone,3,4,2000.0
CoRe-WM old,battle_zone,3,5,2666.6666666666665
CoRe-WM old,battle_zone,3,6,3000.0
CoRe-WM old,battle_zone,3,7,4000.0
CoRe-WM old,battle_zone,3,8,4600.0
CoRe-WM old,battle_zone,3,9,1500.0
CoRe-WM old,battle_zone,3,10,2500.0
CoRe-WM old,battle_zone,3,11,5250.0
CoRe-WM old,battle_zone,3,12,2600.0
CoRe-WM old,battle_zone,3,13,5000.0
CoRe-WM old,battle_zone,3,14,10666.666666666666
CoRe-WM old,battle_zone,3,15,10250.0
CoRe-WM old,battle_zone,3,16,5500.0
CoRe-WM old,battle_zone,3,17,6333.333333333333
CoRe-WM old,battle_zone,3,18,12000.0
CoRe-WM old,battle_zone,3,19,13500.0
CoRe-WM old,battle_zone,4,0,3250.0
CoRe-WM old,battle_zone,4,1,6000.0
CoRe-WM old,battle_zone,4,2,1250.0
CoRe-WM old,battle_zone,4,3,2400.0
CoRe-WM old,battle_zone,4,4,6500.0
CoRe-WM old,battle_zone,4,5,1500.0
CoRe-WM old,battle_zone,4,7,2333.3333333333335
CoRe-WM old,battle_zone,4,8,3000.0
CoRe-WM old,battle_zone,4,9,1600.0
CoRe-WM old,battle_zone,4,10,4666.666666666667
CoRe-WM old,battle_zone,4,11,2333.3333333333335
CoRe-WM old,battle_zone,4,12,3333.3333333333335
CoRe-WM old,battle_zone,4,13,1600.0
CoRe-WM old,battle_zone,4,14,2333.3333333333335
CoRe-WM old,battle_zone,4,15,2250.0
CoRe-WM old,battle_zone,4,16,2250.0
CoRe-WM old,battle_zone,4,17,3500.0
CoRe-WM old,battle_zone,4,18,9666.666666666666
CoRe-WM old,battle_zone,4,19,4750.0
CoRe-WM old,boxing,0,0,-6.5
CoRe-WM old,boxing,0,1,-3.3333333333333335
CoRe-WM old,boxing,0,2,3.0
