method,game,seed,agent_steps,return
Reborn + Harmony,asterix,0,20278,100.0
Reborn + Harmony,asterix,0,20508,50.0
Reborn + Harmony,asterix,0,20704,150.0
Reborn + Harmony,asterix,0,20986,200.0
Reborn + Harmony,asterix,0,21306,250.0
Reborn + Harmony,asterix,0,21800,550.0
Reborn + Harmony,asterix,0,22039,100.0
Reborn + Harmony,asterix,0,22350,150.0
Reborn + Harmony,asterix,0,22661,150.0
Reborn + Harmony,asterix,0,22959,150.0
Reborn + Harmony,asterix,0,23166,50.0
Reborn + Harmony,asterix,0,23524,200.0
Reborn + Harmony,asterix,0,23746,150.0
Reborn + Harmony,asterix,0,24112,250.0
Reborn + Harmony,asterix,0,24724,350.0
Reborn + Harmony,asterix,0,24991,300.0
Reborn + Harmony,asterix,0,25431,300.0
Reborn + Harmony,asterix,0,25723,200.0
Reborn + Harmony,asterix,0,26149,250.0
Reborn + Harmony,asterix,0,26353,100.0
Reborn + Harmony,asterix,0,26573,50.0
Reborn + Harmony,asterix,0,26774,150.0
Reborn + Harmony,asterix,0,27027,350.0
Reborn + Harmony,asterix,0,27446,350.0
Reborn + Harmony,asterix,0,27662,150.0
Reborn + Harmony,asterix,0,27935,300.0
Reborn + Harmony,asterix,0,28492,400.0
Reborn + Harmony,asterix,0,28803,250.0
Reborn + Harmony,asterix,0,29064,300.0
Reborn + Harmony,asterix,0,29507,250.0
Reborn + Harmony,asterix,0,29710,100.0
Reborn + Harmony,asterix,0,29915,200.0
Reborn + Harmony,asterix,0,30309,400.0
Reborn + Harmony,asterix,0,30527,200.0
Reborn + Harmony,asterix,0,30896,350.0
Reborn + Harmony,asterix,0,31098,100.0
Reborn + Harmony,asterix,0,31348,250.0
Reborn + Harmony,asterix,0,31545,200.0
Reborn + Harmony,asterix,0,31765,150.0
Reborn + Harmony,asterix,0,32003,200.0
Reborn + Harmony,asterix,0,32779,550.0
Reborn + Harmony,asterix,0,32989,150.0
Reborn + Harmony,asterix,0,33338,200.0
Reborn + Harmony,asterix,0,33535,50.0
Reborn + Harmony,asterix,0,34163,300.0
Reborn + Harmony,asterix,0,34363,100.0
Reborn + Harmony,asterix,0,34594,150.0
Reborn + Harmony,asterix,0,34960,300.0
Reborn + Harmony,asterix,0,35343,450.0
Reborn + Harmony,asterix,0,35509,100.0
Reborn + Harmony,asterix,0,35714,250.0
Reborn + Harmony,asterix,0,35967,350.0
Reborn + Harmony,asterix,0,36187,50.0
Reborn + Harmony,asterix,0,36608,400.0
Reborn + Harmony,asterix,0,36865,300.0
Reborn + Harmony,asterix,0,37129,300.0
Reborn + Harmony,asterix,0,37352,150.0
Reborn + Harmony,asterix,0,37836,350.0
Reborn + Harmony,asterix,0,38080,250.0
Reborn + Harmony,asterix,0,38506,300.0
Reborn + Harmony,asterix,0,38710,100.0
Reborn + Harmony,asterix,0,38931,150.0
Reborn + Harmony,asterix,0,39147,300.0
Reborn + Harmony,asterix,0,39545,450.0
Reborn + Harmony,asterix,0,39805,150.0
Reborn + Harmony,asterix,0,40085,250.0
Reborn + Harmony,asterix,0,40289,300.0
Reborn + Harmony,asterix,0,40667,500.0
Reborn + Harmony,asterix,0,40904,250.0
Reborn + Harmony,asterix,0,41236,450.0
Reborn + Harmony,asterix,0,41735,700.0
Reborn + Harmony,asterix,0,41927,350.0
Reborn + Harmony,asterix,0,42143,250.0
Reborn + Harmony,asterix,0,42360,150.0
Reborn + Harmony,asterix,0,42571,250.0
Reborn + Harmony,asterix,0,42959,700.0
Reborn + Harmony,asterix,0,43206,200.0
Reborn + Harmony,asterix,0,43459,250.0
Reborn + Harmony,asterix,0,43900,500.0
Reborn + Harmony,asterix,0,44241,300.0
Reborn + Harmony,asterix,0,44537,400.0
Reborn + Harmony,asterix,0,44755,200.0
Reborn + Harmony,asterix,0,45084,250.0
Reborn + Harmony,asterix,0,45449,300.0
Reborn + Harmony,asterix,0,45932,650.0
Reborn + Harmony,asterix,0,46132,150.0
Reborn + Harmony,asterix,0,46366,300.0
Reborn + Harmony,asterix,0,46594,300.0
Reborn + Harmony,asterix,0,47023,850.0
Reborn + Harmony,asterix,0,47464,400.0
Reborn + Harmony,asterix,0,47761,250.0
Reborn + Harmony,asterix,0,48099,350.0
Reborn + Harmony,asterix,0,48427,350.0
Reborn + Harmony,asterix,0,49058,700.0
Reborn + Harmony,asterix,0,49395,300.0
Reborn + Harmony,asterix,0,49771,450.0
Reborn + Harmony,asterix,0,50091,600.0
Reborn + Harmony,asterix,0,50488,350.0
Reborn + Harmony,asterix,0,50832,200.0
Reborn + Harmony,asterix,0,51225,350.0
Reborn + Harmony,asterix,0,51432,250.0
Reborn + Harmony,asterix,0,51734,400.0
Reborn + Harmony,asterix,0,52093,600.0
Reborn + Harmony,asterix,0,52430,350.0
Reborn + Harmony,asterix,0,52956,500.0
