method,game,seed,agent_steps,return
Constraint suite (seed 0; training episodes),assault,0,89322,777.0
Constraint suite (seed 0; training episodes),assault,0,90226,735.0
Constraint suite (seed 0; training episodes),assault,0,90866,441.0
Constraint suite (seed 0; training episodes),assault,0,91600,525.0
Constraint suite (seed 0; training episodes),assault,0,92528,714.0
Constraint suite (seed 0; training episodes),assault,0,93330,630.0
Constraint suite (seed 0; training episodes),assault,0,94423,735.0
Constraint suite (seed 0; training episodes),assault,0,94871,357.0
Constraint suite (seed 0; training episodes),assault,0,95704,672.0
Constraint suite (seed 0; training episodes),assault,0,96468,672.0
Constraint suite (seed 0; training episodes),assault,0,97047,504.0
Constraint suite (seed 0; training episodes),assault,0,97751,609.0
Constraint suite (seed 0; training episodes),assault,0,98456,609.0
Constraint suite (seed 0; training episodes),assault,0,99486,672.0
Constraint suite (seed 0; training episodes),assault,0,100274,546.0
Constraint suite (seed 0; training episodes),assault,0,101145,672.0
Constraint suite (seed 0; training episodes),assault,0,101942,609.0
Constraint suite (seed 0; training episodes),assault,0,103172,714.0
Constraint suite (seed 0; training episodes),assault,0,103904,630.0
Constraint suite (seed 0; training episodes),assault,0,104992,693.0
Constraint suite (seed 0; training episodes),assault,0,105864,672.0
Constraint suite (seed 0; training episodes),assault,0,106769,714.0
Constraint suite (seed 0; training episodes),assault,0,107743,672.0
Constraint suite (seed 0; training episodes),assault,0,108635,672.0
Constraint suite (seed 0; training episodes),assault,0,109274,399.0
Constraint suite (seed 0; training episodes),asterix,0,216,150.0
Constraint suite (seed 0; training episodes),asterix,0,476,250.0
Constraint suite (seed 0; training episodes),asterix,0,721,100.0
Constraint suite (seed 0; training episodes),asterix,0,935,200.0
Constraint suite (seed 0; training episodes),asterix,0,1143,50.0
Constraint suite (seed 0; training episodes),asterix,0,1432,200.0
Constraint suite (seed 0; training episodes),asterix,0,1982,950.0
Constraint suite (seed 0; training episodes),asterix,0,2246,350.0
Constraint suite (seed 0; training episodes),asterix,0,2496,300.0
Constraint suite (seed 0; training episodes),asterix,0,2882,650.0
Constraint suite (seed 0; training episodes),asterix,0,3178,350.0
Constraint suite (seed 0; training episodes),asterix,0,3429,200.0
Constraint suite (seed 0; training episodes),asterix,0,3622,100.0
