seed,checkpoint,score,actions
1,100000,2350.0,669.0
1,100000,3280.0,881.0
1,100000,11000.0,2423.0
1,100000,6160.0,848.0
1,100000,6240.0,1137.0
1,100000,5270.0,872.0
1,100000,3400.0,760.0
1,100000,4850.0,831.0
1,100000,4500.0,750.0
1,100000,4060.0,681.0
1,100000,7180.0,1370.0
1,100000,3450.0,676.0
1,100000,5100.0,748.0
1,100000,3250.0,678.0
1,100000,3140.0,661.0
1,100000,6190.0,1386.0
1,100000,5300.0,925.0
1,100000,5400.0,752.0
1,100000,5730.0,966.0
1,100000,3690.0,2174.0
1,100000,7330.0,941.0
1,100000,3040.0,656.0
1,100000,6940.0,1619.0
1,100000,3810.0,614.0
1,100000,4870.0,685.0
1,100000,6090.0,739.0
1,100000,8610.0,2053.0
1,100000,4470.0,867.0
1,100000,4860.0,855.0
1,100000,5030.0,806.0
1,100000,7070.0,1192.0
1,100000,4530.0,961.0
1,100000,6700.0,1549.0
1,100000,7780.0,1047.0
1,100000,4120.0,953.0
1,100000,8890.0,1542.0
1,100000,6250.0,839.0
1,100000,7810.0,1084.0
1,100000,7190.0,1372.0
1,100000,5350.0,827.0
1,100000,6120.0,768.0
1,100000,3070.0,868.0
1,100000,5250.0,677.0
1,100000,5430.0,803.0
1,100000,6860.0,852.0
1,100000,5030.0,1127.0
1,100000,6690.0,1216.0
1,100000,4240.0,812.0
